"variable","base_var","always_zero","nonzero_steps","total_steps","proportion_nonzero","filename","type","dataset","h","w"
"SP500_lag0","SP500",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag1","SP500",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag2","SP500",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag3","SP500",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag4","SP500",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag5","SP500",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag6","SP500",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag7","SP500",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag8","SP500",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag9","SP500",FALSE,4,26,0.153846153846154,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag10","SP500",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag11","SP500",FALSE,12,26,0.461538461538462,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag12","SP500",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag13","SP500",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag14","SP500",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag15","SP500",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag16","SP500",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag17","SP500",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag18","SP500",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag19","SP500",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag20","SP500",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag21","SP500",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag22","SP500",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag23","SP500",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag24","SP500",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag25","SP500",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag26","SP500",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag27","SP500",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag28","SP500",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag29","SP500",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag30","SP500",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag31","SP500",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag32","SP500",TRUE,0,26,0,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag33","SP500",FALSE,1,26,0.0384615384615385,"forecast_full_w105.RData","forecast","full",NA,105
"SP500_lag34","SP500",FALSE,1,26,0.0384615384615385,"forecast_full_w105.RData","forecast","full",NA,105
