"base_var","all_lags_grouped_steps","proportion_all_grouped","some_lags_grouped_steps","proportion_some_grouped","total_steps","filename","type","dataset","h","w"
"SP500",0,0,0,0,26,"forecast_full_w105.RData","forecast","full",NA,105
"NASDAQCOM",0,0,0,0,26,"forecast_full_w105.RData","forecast","full",NA,105
"VIXCLS",0,0,0,0,26,"forecast_full_w105.RData","forecast","full",NA,105
"DJIA",0,0,0,0,26,"forecast_full_w105.RData","forecast","full",NA,105
"EPU",1,0.0384615384615385,0,0,26,"forecast_full_w105.RData","forecast","full",NA,105
"NFCI",5,0.192307692307692,0,0,26,"forecast_full_w105.RData","forecast","full",NA,105
"CCSA",1,0.0384615384615385,1,0.0384615384615385,26,"forecast_full_w105.RData","forecast","full",NA,105
"ICSA",1,0.0384615384615385,0,0,26,"forecast_full_w105.RData","forecast","full",NA,105
"RPI",2,0.0769230769230769,0,0,26,"forecast_full_w105.RData","forecast","full",NA,105
"CMRMTSPL",3,0.115384615384615,0,0,26,"forecast_full_w105.RData","forecast","full",NA,105
"AMTMNO",1,0.0384615384615385,0,0,26,"forecast_full_w105.RData","forecast","full",NA,105
"TCU",2,0.0769230769230769,0,0,26,"forecast_full_w105.RData","forecast","full",NA,105
"CPIAUCSL",1,0.0384615384615385,0,0,26,"forecast_full_w105.RData","forecast","full",NA,105
"PPIACO",0,0,0,0,26,"forecast_full_w105.RData","forecast","full",NA,105
"PCEPILFE",1,0.0384615384615385,0,0,26,"forecast_full_w105.RData","forecast","full",NA,105
"PCEPI",1,0.0384615384615385,0,0,26,"forecast_full_w105.RData","forecast","full",NA,105
"DFXARC1M027SBEA",1,0.0384615384615385,0,0,26,"forecast_full_w105.RData","forecast","full",NA,105
"DNRGRC1M027SBEA",0,0,0,0,26,"forecast_full_w105.RData","forecast","full",NA,105
"CPILFESL",0,0,0,0,26,"forecast_full_w105.RData","forecast","full",NA,105
"RSAFS",1,0.0384615384615385,0,0,26,"forecast_full_w105.RData","forecast","full",NA,105
"HSN1F",6,0.230769230769231,0,0,26,"forecast_full_w105.RData","forecast","full",NA,105
